Codigo,Nombre Oferta,Empresa,Ubicacion,Modalidad,Seniority,Nivel_Educacion,Anios_Experiencia,Salario_COP,Salario_Millones,Habilidad,URL
F88CE45891616FAA61373E686DCF3405,"Practicante Universitario de Investigación y Desarrollo – Mosquera, Cundinamarca",PRODUCTOS RAMO SAS,"4,6",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,1750000.0,1.75,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-universitario-de-investigacion-y-desarrollo-mosquera-cundinamarca-ingenieria-de-alimentos-o-ingenieria-quimica-en-mosquera-F88CE45891616FAA61373E686DCF3405#lc=ListOffers-Score0-12
DB4F849B466B334861373E686DCF3405,Aprendiz de Calidad,LACTALIS,"4,4",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera tecnológica,1,1750000.0,1.75,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-aprendiz-de-calidad-chia-en-chia-DB4F849B466B334861373E686DCF3405#lc=ListOffers-Score0-13
A5F0F80763BE563A61373E686DCF3405,Laboratorista,ELECTRICOS INTERNACIONAL LIMITADA,"4,5",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera tecnológica,1,2249999.0,2.249999,Estadística / Modelamiento,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-laboratorista-sector-electrico-en-bogota-dc-A5F0F80763BE563A61373E686DCF3405#lc=ListOffers-Score0-16
BCA5F72DAEDA8E1461373E686DCF3405,Senior AI Engineer!,CENTRO DE EMPLEO Y TALENTO COLSUBSIDIO,"Bogotá, D.C., Bogotá, D.C.",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,,,"Python, Machine Learning General, NLP / LLMs, ETL / Pipelines de Datos",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-senior-ai-engineer-en-bogota-dc-BCA5F72DAEDA8E1461373E686DCF3405#lc=ListOffers-Score0-17
B82802D20E69268361373E686DCF3405,Analista de Investigación de Mercados/Inmobiliario,Multiempleos S.A.,"4,4",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,2654000.0,2.654,"Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-investigacion-de-mercadosinmobiliario-en-bogota-dc-B82802D20E69268361373E686DCF3405#lc=ListOffers-Score0-18
4E0FF48BBFF13DFA61373E686DCF3405,Analista de calidad,Confidencial / No especificada,"Pereira, Risaralda",No especificada,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,2731592.0,2.731592,"Power BI, Excel Avanzado",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-pereira-en-pereira-4E0FF48BBFF13DFA61373E686DCF3405#lc=ListOffers-Score0-19
EF3235D2FE2D5B6661373E686DCF3405,Investigaciòn de mercado en el sector inmobiliario,Multiempleos S.A.,"4,4",No especificada,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,,,"Power BI, Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-investigacion-de-mercado-en-el-sector-inmobiliario-en-bogota-dc-EF3235D2FE2D5B6661373E686DCF3405#lc=ListOffers-Score0-1
F4DF4ACC0D20FCD761373E686DCF3405,QA Supervisor,SOLVO S.A.S,"4,6",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera técnica,1,,,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-qa-supervisor-en-bogota-dc-F4DF4ACC0D20FCD761373E686DCF3405#lc=ListOffers-Score0-2
E64421505817DB7C61373E686DCF3405,QA Supervisor,SOLVO S.A.S,"4,6",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera técnica,1,,,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-qa-supervisor-en-barranquilla-E64421505817DB7C61373E686DCF3405#lc=ListOffers-Score0-3
C6FD339093A4250161373E686DCF3405,Auxiliar de calidad,Human Talent SAS,"4,2",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera técnica,1,2000000.0,2.0,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-calidad-malambo-en-malambo-C6FD339093A4250161373E686DCF3405#lc=ListOffers-Score0-4
